id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
84889,273750,Bristol Sea View Apartments,"8, Vasileos Georgiou Str.",Kos Island,Greece,85300,Hotels,2,36.89229965,27.29494095,5,https://www.agoda.com/en-gb/bristol-sea-view-apartments/hotel/kos-island-gr.html,EUR
84890,273759,Landgasthof Nagerl,Bahnhofstrasse 6,Marzling,Germany,85417,Hotels,3,48.40806321,11.7958349,2,http://www.booking.com/hotel/de/landgasthof-nagerl.en-gb.html,EUR
84891,273759,Venardos Hotel,Agia Pelagia,Ag. Pelagia,Greece,80200,Hotels,3,36.32321167,22.98275948,5,https://www.agoda.com/en-gb/venardos-hotel/hotel/ag-pelagia-gr.html,EUR
84892,273761,Hotel Walhalla,Stationsvagen 24,Morrum,Sweden,,Hotels,3,56.1899783,14.74455088,2,http://www.booking.com/hotel/se/walhalla.en-gb.html,SEK
84893,2737618,Remisens Premium Villa Abbazia,Marsala Tita 144/148,Opatija,Croatia,51410,Hotels,4,45.3321917,14.3024021,2,http://www.booking.com/hotel/hr/remisens-premium-villa-abbazia.en-gb.html,EUR
84894,273771,Hotel Villa Linneo,Via Carlo Linneo 1A/1B,Rome,Italy,197,Hotels,3,41.91955412,12.48270169,2,http://www.booking.com/hotel/it/villa-linneo.en-gb.html,EUR
84895,273772,Hotel Strachanovka - Janska Koliba,Janska Dolina 2067,Liptovsky Jan,Slovakia,,Hotels,3,49.03441267,19.67379928,2,http://www.booking.com/hotel/sk/strachanovka-janska-koliba.en-gb.html,EUR
84896,273774,Eva Hotel Piraeus,2 Nauarxou Notara & Evaggelistrias Str.,Piraeus,Greece,18531,Hotels,2,37.94690281,23.64853263,2,http://www.booking.com/hotel/gr/eva-piraeus.en-gb.html,EUR
84897,273783,Camping La Foret,149 Boulevard De Berck,Stella-Plage,France,62780,Campsites,3,50.47369811,1.59178913,2,http://www.booking.com/hotel/fr/la-foret.en-gb.html,EUR
84898,2737953,Bonners Lodge,Bonners Lodge Bee Cottage Farm,Lanchester,United Kingdom,,Hotels,4,54.8012085,-1.896440029,5,https://www.agoda.com/en-gb/bonners-lodge/hotel/lanchester-gb.html,GBP
84899,273801,Villaggio Hotel Club Calanovellamare,Via Calanovella 5,Piraino,Italy,98060,Resorts,3,38.16875987,14.88147497,2,http://www.booking.com/hotel/it/villaggio-club-calanovellamare-s-r-l.en-gb.html,EUR
84900,273808,Il Gattopardo,Via Marina 69,Brolo,Italy,98061,Hotels,3,38.16035607,14.82768595,2,http://www.booking.com/hotel/it/il-gattopardo.en-gb.html,EUR
84901,273814,Storhogna Hogfjallshotell & Spa,Vardshusvagen 4,Storhagna,Sweden,,Resorts,4,62.5046503,14.09762353,2,http://www.booking.com/hotel/se/storhogna-hogfjallshotell-spa.en-gb.html,SEK
84902,273821,Hotel Santa Rita,"Rua De Leiria, No 35",Leiria,Portugal,,Hotels,2,39.8513298,-8.863699913,5,https://www.agoda.com/en-gb/hotel-santa-rita/hotel/leiria-pt.html,EUR
84903,273828,Dein Engel,Buflings 3,Oberstaufen,Germany,87534,Hotels,4,47.56862152,10.02191305,2,http://www.booking.com/hotel/de/kur-und-sporthotel-engel.en-gb.html,EUR
84904,273833,Hotel El Salt,"Elvira Hidalgo,14",Valderrobres,Spain,44580,Hotels,2,40.87328986,0.15608847,2,http://www.booking.com/hotel/es/el-salt.en-gb.html,EUR
84905,273840,Food Hotel,Langendorfer Strasse 155-157,Neuwied,Germany,56564,Hotels,4,50.42635515,7.46260822,2,http://www.booking.com/hotel/de/food.en-gb.html,EUR
84906,273853,Thea Hotel,Beach Road,Chalkidiki,Greece,63077,Hotels,3,39.96298981,23.38722038,5,https://www.agoda.com/en-gb/thea-hotel/hotel/chalkidiki-gr.html,EUR
84907,2738571,Kemp Cerna Louze,Cerna Louze 15,Rynoltice,Czech Republic,,Campsites,2,50.79985938,14.823668,2,http://www.booking.com/hotel/cz/kemp-cerna-louze.en-gb.html,EUR
84908,273867,Hotel Galli,Via Saroch 569,Livigno,Italy,23041,Hotels,3,46.5271492,10.1269598,5,https://www.agoda.com/en-gb/hotel-galli/hotel/livigno-it.html,EUR
